Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Aerobic Body Works,PO Box 98,South Caulfield,3162,VIC,-37.882914,145.02282,Personal training,,
Bay City Strollers,793 High Street,Armadale,3143,VIC,-37.854479,145.014634,Personal training,Stonnington (C),Southern Metropolitan Region
Healthy Vibes,192A Bulleen Road,Bulleen,3105,VIC,-37.763968,145.083424,Personal training,Manningham (C),Eastern Metropolitan Region
Hunter's Personal Training,441 St Kilda Road,Melbourne,3004,VIC,-37.839576,144.976997,Personal training,Melbourne (C),North and West Metropolitan Region
My Trainer Corporation,"Level 1, 123 Maling Rd",Canterbury ,3126,VIC,-37.824708,145.081598,Personal training,Manningham,Eastern Metro
Prams in the Park,Central Park,Malvern East,3145,VIC,-37.866708,145.048649,Personal training,Stonnington (C); Glen Eira (C),Southern Metropolitan Region
Step into Life Balwyn North,Greythorn Park,Balwyn North,3104,VIC,-37.797966,145.094138,Personal training,Boroondara (C),Eastern Metropolitan Region
Step into Life Beaumaris,Balcombe Park,Beaumaris,3193,VIC,-37.975817,145.030822,Personal training,Bayside (C),Southern Metropolitan Region
Step into Life Bentleigh,Hodgson Reserve,Bentleigh,3204,VIC,-37.922095,145.04417,Personal training,Kingston (C); Glen Eira (C),Southern Metropolitan Region
Step into Life Berwick,Hugh Hodson Reserve,Berwick,3806,VIC,-38.025795,145.326964,Personal training,Casey (C),Southern Metropolitan Region
Step into Life Box Hill,Surrey Park,Box Hill,3128,VIC,-37.825761,145.117582,Personal training,Whitehorse (C),Eastern Metropolitan Region
Step into Life Camberwell,Highfield Park,Camberwell,3124,VIC,-37.835372,145.085791,Personal training,Boroondara,Eastern Metro
Step into Life Carlton,Princes Park,Carlton,3053,VIC,-37.792701,144.971854,Personal training,Melbourne (C),North and West Metropolitan Region
Step into Life Caroline Springs,Brookside Reserve,Caroline Springs,3037,VIC,-37.744427,144.736633,Personal training,Brimbank (C),North and West Metropolitan Region
