Name,Address,Suburb,Postcode,State,latitude,longitude,Business Category,LGA,Region
Albert Park Model Yacht Club,Lakeside Drive,Albert Park,3206,VIC,-37.849367,144.97685,Sailing/Boating Club,Port Phillip,Southern Metro
Albert Park Yacht Club,Aquatic Drive,South Melbourne,3205,VIC,-37.841693,144.966981,Sailing/Boating Club,Port Phillip,Southern Metro
Albert Sailing Club,Aquatic Drive,South Melbourne,3205,VIC,-37.841693,144.966981,Sailing/Boating Club,Port Phillip,Southern Metro
Altona Yacht Club Inc.,Cresser Reserve,Seaholme,3018,VIC,-37.866701,144.845278,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Apollo Bay Sailing Club,Apollo Bay Harbour,Apollo Bay,3233,VIC,-38.757167,143.669613,Sailing/Boating Club,Colac-otway,Barwon S/W
Ballarat Yacht Club,Wendouree Parade,Ballarat,3350,VIC,-37.544786,143.834625,Sailing/Boating Club,Ballarat,Grampians
Beaconhills Sailing Club,Toomuc Valley Road,Pakenham,3810,VIC,-38.039264,145.463216,Sailing/Boating Club,Cardinia,Southern Metro
Beaumaris Yacht Club,Ricketts Point,Beaumaris,3193,VIC,-37.994539,145.030861,Sailing/Boating Club,Bayside,Southern Metro
Bendigo Yacht Club,45 Sunset Drive,Lake Eppalock,3551,VIC,-36.86233,144.505302,Sailing/Boating Club,Greater Bendigo,Loddon-Mallee
Black Rock Yacht Club,Half Moon Bay,Black Rock,3193,VIC,-37.973949,145.01651,Sailing/Boating Club,Bayside,Southern Metro
Blairgowrie Yacht Squadron,2900 Point Nepean Road,Blairgowrie,3942,VIC,-38.358728,144.772804,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Boomaroo/Catalina Yacht Club,1 Susanne Court,Romsey,3434,VIC,-37.357751,144.747016,Sailing/Boating Club,Macedon Ranges,Loddon-Mallee
Cairn Curran Sailing Club,Cairn Curran Reservoir,Castlemaine,3450,VIC,-37.06444,144.2172,Sailing/Boating Club,Mount Alexander,Loddon-Mallee
Carrum Sailing Club,Carrum Foreshore,Chelsea,3196,VIC,-38.052059,145.115906,Sailing/Boating Club,Kingston,Southern Metro
Chelsea Yacht Club,Foreshore Chelsea,Chelsea,3196,VIC,-38.052059,145.115906,Sailing/Boating Club,Kingston,Southern Metro
Colac Yacht Club,Western Bay,Colac,3250,VIC,-38.338015,143.568255,Sailing/Boating Club,Colac-otway,Barwon S/W
Corio Bay Sailing Club,Foreshore Road,Corio,3214,VIC,-38.073662,144.397072,Sailing/Boating Club,Greater Geelong,Barwon S/W
Corner Inlet Boat Club,Cnr Port Welshpool Road & Lewis Street,Port Welshpool,3965,VIC,-38.698784,146.453203,Sailing/Boating Club,,
Cowes Yacht Club,Osborne Avenue,Cowes,3922,VIC,-38.450255,145.2344,Sailing/Boating Club,Bass Coast,Gippsland
Daveys Bay Yacht Club,Bottom of Davey's Bay Road,Mount Eliza,3930,VIC,-38.170596,145.090085,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Derrinallum Yacht and Power Boat Club,Chatsworth Road,Derrinallum,3325,VIC,-37.933342,143.154665,Sailing/Boating Club,Corangamite,Barwon S/W
Docklands Yacht Club,Harbour Esplanade,Docklands,3008,VIC,-37.817285,144.945893,Sailing/Boating Club,,
Elwood Sailing Club,Elwood Foreshore,Elwood,3184,VIC,-37.882195,144.983109,Sailing/Boating Club,Port Phillip,Southern Metro
Flinders Yacht Club,The Foreshore,Flinders,3929,VIC,-38.474038,145.016315,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Frankston Yacht Club,Foreshore Street,Frankston,3199,VIC,-38.141399,145.122464,Sailing/Boating Club,Frankston,Southern Metro
Geelong Trailable Yacht Club,PO Box 899,Geelong,3220,VIC,-38.148544,144.361348,Sailing/Boating Club,Greater Geelong,Barwon S/W
Gippsland Lakes Yacht Club,The Esplanade,Paynesville,3880,VIC,-37.919419,147.721817,Sailing/Boating Club,East Gippsland,Gippsland
Hampton Sailing Club,Jetty Road,Sandringham,3191,VIC,-37.945755,144.997501,Sailing/Boating Club,Bayside,Southern Metro
Hastings Yacht Club,1 Marine Parade,Hastings,3915,VIC,-38.309368,145.197393,Sailing/Boating Club,Mornington Peninsula,Southern Metro
HMAS Cerberus Sailing Club,PO Box 135,HMAS Cerberus,3920,VIC,-38.394324,145.209351,Sailing/Boating Club,,
Hobsons Bay Yacht Club,268 Nelson Place,Williamstown,3016,VIC,-37.859777,144.902607,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Lagoon Boat Club,Foreshore Road,Corio,3214,VIC,-38.073662,144.397072,Sailing/Boating Club,Greater Geelong,Barwon S/W
Lake Boga Yacht Club,Murray Valley Highway,Lake Boga,3584,VIC,-35.466739,143.647155,Sailing/Boating Club,Swan Hill Rural,Loddon-Mallee
Lake Cullulleraine Yacht Club,PO Box 1720,Mildura,3502,VIC,-34.198842,142.16321,Sailing/Boating Club,Mildura Rural,Loddon-Mallee
Lake Glenmaggie Yacht Club,"Kelly's Cove, Lake Glenmaggie",Coongulla,3860,VIC,-37.894899,146.784306,Sailing/Boating Club,,
Lake Hawthorn Sailing Club,Dyar Avenue,Cabarita,3505,VIC,-34.215001,142.086707,Sailing/Boating Club,,
Lake Learmonth Yacht Club,31 Scenic Crescent,Ballarat,3353,VIC,-37.541023,143.879275,Sailing/Boating Club,Ballarat,Grampians
Lake Wellington Yacht Club,Marlay Point,Clydebank,3851,VIC,-38.056852,147.212128,Sailing/Boating Club,,
Latrobe Valley Yacht Club,Yinnar Road,Hazelwood,3840,VIC,-38.296359,146.357161,Sailing/Boating Club,,
Loch Sport Boat Club,Charles Street,Loch Sport,3851,VIC,-38.054184,147.573646,Sailing/Boating Club,Wellington,Gippsland
Lysterfield Sailing Club Inc.,Lysterfield Lake Park,Lysterfield,3156,VIC,-37.963892,145.297279,Sailing/Boating Club,"Yarra Ranges , Knox",Eastern Metro
McCrae Yacht Club,690 Point Nepean Road,McCrae,3938,VIC,-38.348539,144.927544,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Melbourne Trailable Yacht Club,1 Boronia Street ,Pascoe Vale,3044,VIC,-37.735435,144.947889,Sailing/Boating Club,Moreland,North and West Metropolitan Region
Merricks Yacht Club,PO Box 90,Balnarring,3926,VIC,-38.373798,145.125992,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Metung Yacht Racing Club,113 Metung Road,Metung,3904,VIC,-37.887816,147.856742,Sailing/Boating Club,,
Mordialloc Motor Yacht Club,Lamberts Island,Mordialloc,3195,VIC,-38.009828,145.087331,Sailing/Boating Club,Kingston,Southern Metro
Mornington Yacht Club,Schnapper Point Drive,Mornington,3931,VIC,-38.215241,145.034239,Sailing/Boating Club,Mornington Peninsula,Southern Metro
