Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Aireys Inlet Skate Park,Great Ocean Road,Aireys Inlet,3231,VIC,-38.444801,144.118161,Skate Parks,Surf Coast,Barwon S/W
Albert Park Vert Ramp,Albert Park Reserve,Albert Park,3206,VIC,-37.838957,144.965653,Skate Parks,Port Phillip,Southern Metro
Anglesea Ramp,Lions Park,Anglesea,3230,VIC,-38.406388,144.189441,Skate Parks,Surf Coast,Barwon S/W
Apollo Bay Skate Park,Great Ocean Road,Apollo Bay,3233,VIC,-38.754585,143.668985,Skate Parks,Colac-otway,Barwon S/W
Ascot Vale Skate Park,Wingate Avenue,Ascot Vale,3032,VIC,-37.779086,144.919408,Skate Parks,Moonee Valley ; Maribyrnong,North and West Metropolitan Region
Bacchus Marsh Skate Park,Rotary Park,Bacchus Marsh,3340,VIC,-37.673519,144.440712,Skate Parks,"Wyndham , Moorabool , Melton",Grampians; Grampians Region
Bairnsdale Ramp,Davison Oval,Bairnsdale,3875,VIC,-37.824577,147.631719,Skate Parks,East Gippsland,Gippsland
Ballarat Skate Park,Cnr Mair & Armstrong Streets,Ballarat,3350,VIC,-37.559539,143.856725,Skate Parks,Ballarat,Grampians
Balwyn Vert Ramp,Belmore Road,Camberwell,3124,VIC,-37.803408,145.082474,Skate Parks,Boroondara,Eastern Metro
Benalla Skate Park,Bridge Street West,Benalla,3672,VIC,-36.555929,145.972878,Skate Parks,Delatite,Hume
Bendigo Skate Park,Cnr McIvor Road & Kennedy Street,Bendigo,3550,VIC,-36.757278,144.291882,Skate Parks,Greater Bendigo,Loddon-Mallee; Loddon Mallee Region
Bentleigh East Skate Park,East Boundary Road,Bentleigh East,3165,VIC,-37.921079,145.059253,Skate Parks,Glen Eira,Southern Metro
Bill Waterston Skate Park,"C/- Ararat YMCA, ",Ararat,3377,VIC,-37.282262,142.929979,Skate Parks,Ararat Rural,Grampians
Box Hill Skate Park,Canterbury Road,Box Hill,3128,VIC,-37.829198,145.125983,Skate Parks,Whitehorse,Eastern Metro
Box Hill Skate Room,693 Station Street,Box Hill,3128,VIC,-37.8176,145.123696,Skate Parks,Whitehorse,Eastern Metro
Broadmeadows Skate Ramp,Jacana Reserve,Broadmeadows,3047,VIC,-37.688567,144.923854,Skate Parks,Hume,North and West Metropolitan Region
Bulleen Bowl,Swanston Street Reserve,Bulleen,3105,VIC,-37.765811,145.098444,Skate Parks,Manningham,Eastern Metro
Bunningyong Skate Park,Corner Forest & Inglis Streets,Ballarat,3350,VIC,-37.649504,143.886864,Skate Parks,Ballarat,Grampians
Camberwell Skate Park,Riversdale Road,Camberwell,3124,VIC,-37.833476,145.075014,Skate Parks,Boroondara,Eastern Metro
Carrum Downs Skate Park,Sandfield Drive,Carrum Downs,3201,VIC,-38.107197,145.188377,Skate Parks,Frankston,Southern Metro
Chadstone Skate Park,Phoenix Park,Chadstone,3148,VIC,-37.879482,145.082074,Skate Parks,"Stonnington , Monash","Southern Metro, Eastern Metro"
Chelsea Skate Park,Bicentenial Park,Chelsea,3196,VIC,-38.050566,145.129996,Skate Parks,Kingston,Southern Metro
Cheltenham Skate Park,Sir William Fry Reserve,Cheltenham,3192,VIC,-37.964428,145.055984,Skate Parks,"Kingston , Bayside",Southern Metro
Churchill Skate Park,Behind the Churchill Shopping Centre,Churchill,3842,VIC,-38.31342,146.419579,Skate Parks,La Trobe,Gippsland
Clifton Springs Skate Park,Jetty Road Reserve,Clifton Springs,3222,VIC,-38.162001,144.552967,Skate Parks,Greater Geelong,Barwon S/W
Coburg Skate Park,Cnr Gaffney & Bishop Streets,Coburg,3058,VIC,-37.732694,144.951498,Skate Parks,Moreland,North and West Metropolitan Region
Cockatoo Bowl,Recreation Area,Cockatoo,3781,VIC,-37.935949,145.492557,Skate Parks,Cardinia,Southern Metro
Colac Skate Park,Central Reserve,Colac,3250,VIC,-38.348304,143.586902,Skate Parks,Colac-otway,Barwon S/W
Coolaroo Skate Park,Progress Reserve,Coolaroo,3048,VIC,-37.66033,144.932966,Skate Parks,Hume,North and West Metropolitan Region
Corio Skate Park,Off Rose Avenue,Corio,3214,VIC,-38.088268,144.362232,Skate Parks,Greater Geelong,Barwon S/W
Cowes Skate Park,Dunsmore Park,Cowes,3922,VIC,-38.451423,145.246983,Skate Parks,Bass Coast,Gippsland
Craigieburn Bowl,Corner Rayfield Avenue & Craigieburn Road,Craigieburn,3064,VIC,-37.598304,144.935023,Skate Parks,Whittlesea ; Hume,North and West Metropolitan Region
Cranbourne Skate Park,New Holland Drive,Cranbourne,3977,VIC,-38.110699,145.293561,Skate Parks,"Frankston , Casey",Southern Metro
Creswick Skate Park,Water Street,Creswick,3363,VIC,-37.424496,143.903066,Skate Parks,Hepburn,Grampians
Croydon Skate Park,Norton Road,Croydon,3136,VIC,-37.801352,145.284854,Skate Parks,Maroondah,Eastern Metro; Metropolitan East Region
Dandenong Skate Park,John Hemmings Memorial Park,Dandenong,3175,VIC,-37.981072,145.208315,Skate Parks,Greater Dandenong,Southern Metro
Daylesford Skate Park,Stanbridge Street,Daylesford,3460,VIC,-37.345665,144.141905,Skate Parks,Hepburn,Grampians
Delacombe Skate Park,Delacombe Recreation Reserve,Delacombe,3356,VIC,-37.589115,143.814718,Skate Parks,Ballarat,Grampians
Diamond Creek Skate Park,Nillumbik Park,Diamond Creek,3089,VIC,-37.671638,145.160349,Skate Parks,Nillumbik,North and West Metropolitan Region
Dingley Skate Park,Rowan Road Reserve,Dingley,3172,VIC,-37.979961,145.142712,Skate Parks,Greater Dandenong,Southern Metro
Drouin Skate Park,Civic Park,Drouin,3818,VIC,-38.134741,145.858975,Skate Parks,Baw Baw,Gippsland
East Keilor Skate Park,Rosehill Park,Keilor East,3033,VIC,-37.748292,144.872778,Skate Parks,Moonee Valley,North and West Metropolitan Region
Elsternwick Bowls,Elsternwick Park,Elsternwick,3185,VIC,-37.884652,145.001289,Skate Parks,"Port Phillip , Glen Eira , Bayside",Southern Metro
