Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Aquabear AUSSI Masters,La Trobe University Sports Centre,Bundoora,3083,VIC,-37.69706,145.059002,Swimming Club,"Whittlesea,Darebin,Banyule",North and West Metropolitan Region
Ballarat GCO Swim Club,PO Box 1709,Ballarat,3354,VIC,-37.558102,143.892045,Swimming Club,Ballarat,Grampians
Broadmeadows Swimming Clubs,PO Box 605,Glenroy,3046,VIC,-37.704475,144.916351,Swimming Club,Moreland,North and West Metropolitan Region
Craigieburn Amateur Swimming Club Inc,PO Box 347,Craigieburn,3064,VIC,-37.598443,144.941816,Swimming Club,"Whittlesea,Hume",North and West Metropolitan Region
Doncaster Templestowe Amateur Swim Club (DTASC),Aquarena,Doncaster,3108,VIC,-37.774004,145.122754,Swimming Club,Manningham,Eastern Metro
Eltham Swimming School,1441 Main Road,Eltham North,3095,VIC,-37.701682,145.175489,Swimming Club,Nillumbik,North and West Metropolitan Region
Frankston Peninsula AUSSI Masters,Jubilee Park Swimming Pool,Frankston,3199,VIC,-38.141399,145.122464,Swimming Club,Frankston,Southern Metro
Geelong Swimming Club,Park Crescent,Geelong South,3220,VIC,-38.159916,144.352101,Swimming Club,Greater Geelong,Barwon S/W
Heidelberg Flyers AUSSI Masters,Heidelberg Aquatic Centre,Heidelberg,3084,VIC,-37.756367,145.066849,Swimming Club,Banyule,North and West Metropolitan Region
Hoppers Crossing AUSSI Masters,Laverton Fitness Centre,Laverton,3028,VIC,-37.862015,144.769795,Swimming Club,"Wyndham,Hobsons Bay",North and West Metropolitan Region
Ivanhoe Aqua Power Swimming Club,123 Upper Heidelberg Street,Ivanhoe,3079,VIC,-37.769105,145.041994,Swimming Club,Banyule,North and West Metropolitan Region
Jayson Lamb's Splash Factory,Warrnambool College Pool,Warrambool,3280,VIC,-38.382766,142.484499,Swimming Club,Warrnambool,Barwon South Western
Just Swimming Syndal,554 High Street Road,Mount Waverley,3149,VIC,-37.872319,145.146894,Swimming Club,Monash,Eastern Metro
Kilmore Country Masters Swimming Club,White Street,Kilmore,3764,VIC,-37.303736,144.952241,Swimming Club,Mitchell,Hume
Kilmore District Amateur Swimming Club,White Street,Kilmore,3764,VIC,-37.303736,144.952241,Swimming Club,Mitchell,Hume
Kingfish AUSSI Masters Swimming Club,King Club,Cheltenham,3192,VIC,-37.964428,145.055984,Swimming Club,"Kingston , Bayside",Southern Metro
Kingston AUSSI Masters,Waves Leisure Centre,Highett,3190,VIC,-37.948845,145.042847,Swimming Club,"Kingston , Bayside",Southern Metro
Leisure City Dolphins,Miller Street,Epping,3076,VIC,-37.644406,145.020483,Swimming Club,Whittlesea,North and West Metropolitan Region
Malvern Marlins AUSSI Masters,Harold Holt Memorial Pool,Malvern,3144,VIC,-37.862072,145.028336,Swimming Club,Stonnington,Southern Metro
Maroondah AUSSI Masters,Kilsyth Swimming Pool,Kilsyth,3137,VIC,-37.802271,145.307898,Swimming Club,"Yarra Ranges , Maroondah",Eastern Metro
Melbourne Olympic AUSSI Masters,Armadale Swim Pool,Armadale,3143,VIC,-37.855631,145.022115,Swimming Club,Stonnington,Southern Metro
Melbourne Olympic AUSSI Masters,Kilsyth Swimming Pool,Kilsyth,3137,VIC,-37.802271,145.307898,Swimming Club,"Yarra Ranges , Maroondah",Eastern Metro
Melbourne Vicentre Swimming Club,"Melbourne Sports & Aquatic Centre, Aughtie Drive",Albert Park,3206,VIC,-37.84651,144.966152,Swimming Club,Port Phillip,Southern Metro
Mildura Amateur Swimming Club Inc,Twelfth Street,Mildura,3500,VIC,-34.189177,142.15337,Swimming Club,Mildura Rural,Loddon-Mallee
North Lodge Neptunes AUSSI Masters,North Lodge Swimming Academy,Dandenong,3175,VIC,-37.98746,145.214861,Swimming Club,Greater Dandenong,Southern Metro
Northcote Swimming and Lifesaving Club,Northcote Aquatic and Recreation Centre,Northcote,3070,VIC,-37.769378,144.999087,Swimming Club,Darebin,North and West Metropolitan Region
Northcote Yabbies AUSSI Masters,Ivanhoe Grammer School ,Ivanhoe,3079,VIC,-37.768791,145.042313,Swimming Club,Banyule,North and West Metropolitan Region
Nunawading Swimming Club,Fraser Place,Forest Hill,3131,VIC,-37.837627,145.174814,Swimming Club,Whitehorse,Eastern Metro
Powerpoints AUSSI Masters,Prahran Pool,Prahran,3181,VIC,-37.851524,144.993484,Swimming Club,Stonnington,Southern Metro
Seymour's Swim School,23 Graves Street,Essendon,3040,VIC,-37.741183,144.89604,Swimming Club,Moonee Valley,North and West Metropolitan Region
South Barwon Swimming Club,PO Box 1301,Geelong,3220,VIC,-38.148544,144.361348,Swimming Club,Greater Geelong,Barwon S/W
Stingrays AUSSI Masters,Footscray Swimming Centre,Footscray,3011,VIC,-37.799736,144.899734,Swimming Club,Maribyrnong,North and West Metropolitan Region
